ID,Categoria,Presenciou_Acidente,Frequencia_Acidentes,Principal_Causa,Conhece_IA,Experiencia_com_IA,IA_Pode_Reduzir_Acidentes,Apoia_Modernizacao_Transito,Sugestao_Modernizacao
437,Peão,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Implementar semáforos inteligentes
438,Peão,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Aumentar a iluminação pública
439,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
440,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Aumentar a iluminação pública
441,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Não,Não,
442,Motorista,Sim,Frequente,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Não,
443,Mototaxista,Não,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
444,Motorista,Sim,Frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Fiscalização mais rigorosa
445,Motorista,Sim,Frequente,Consumo de álcool,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Melhorar a sinalização nas estradas
446,Motorista,Não,Frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Aumentar a iluminação pública
447,Peão,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Mais agentes de trânsito nas ruas
448,Motorista,Não,Muito frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Não,Sim,Construir passadeiras elevadas
449,Peão,Sim,Muito frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
450,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Educação para o trânsito nas escolas
451,Motorista,Não,Muito frequente,Consumo de álcool,Sim,Aplicações de reconhecimento facial,Sim,Sim,Educação para o trânsito nas escolas
452,Motorista,Sim,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Melhorar a sinalização nas estradas
453,Motorista,Sim,Frequente,Falta de sinalização,Sim,Nunca usei IA,Sim,Sim,Mais agentes de trânsito nas ruas
454,Motorista,Sim,Muito frequente,Falta de sinalização,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Melhorar a sinalização nas estradas
455,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Não,
456,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
457,Mototaxista,Sim,Muito frequente,Falta de sinalização,Não,Nenhuma,Sim,Não,
458,Mototaxista,Sim,Raro,Condução imprudente,Não,Nenhuma,Sim,Não,
459,Motorista,Sim,Muito frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Sim,Não,
460,Mototaxista,Sim,Frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Fiscalização mais rigorosa
461,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Não,Sim,Mais agentes de trânsito nas ruas
462,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Aumentar a iluminação pública
463,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Construir passadeiras elevadas
464,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Não,Sim,Aumentar a iluminação pública
465,Mototaxista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Sim,Usar tecnologia de IA no trânsito
466,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Fiscalização mais rigorosa
467,Mototaxista,Não,Muito frequente,Excesso de velocidade,Sim,Aplicações de reconhecimento facial,Sim,Sim,Construir passadeiras elevadas
468,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
469,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Criar faixas de pedestres
470,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Usar tecnologia de IA no trânsito
471,Mototaxista,Não,Frequente,Consumo de álcool,Não,Nenhuma,Sim,Sim,Educação para o trânsito nas escolas
472,Motorista,Sim,Muito frequente,Excesso de velocidade,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
473,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Implementar semáforos inteligentes
474,Motorista,Sim,Muito frequente,Falta de sinalização,Sim,Aplicações de reconhecimento facial,Não,Sim,Implementar semáforos inteligentes
475,Peão,Sim,Muito frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Instalar câmeras de vigilância
476,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Interação com chatbots de atendimento,Sim,Sim,Melhorar a sinalização nas estradas
477,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Criar faixas de pedestres
478,Mototaxista,Sim,Frequente,Excesso de velocidade,Sim,Vi notícias sobre carros autónomos,Não,Sim,Fiscalização mais rigorosa
479,Peão,Sim,Muito frequente,Consumo de álcool,Sim,Nunca usei IA,Não,Sim,Implementar semáforos inteligentes
480,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Construir passadeiras elevadas
481,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
482,Mototaxista,Sim,Muito frequente,Consumo de álcool,Sim,Uso de Google Maps com navegação inteligente,Sim,Sim,Melhorar a sinalização nas estradas
483,Motorista,Sim,Muito frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Fiscalização mais rigorosa
484,Peão,Sim,Frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Sim,Educação para o trânsito nas escolas
485,Motorista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
486,Mototaxista,Sim,Raro,Excesso de velocidade,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Instalar câmeras de vigilância
487,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Fiscalização mais rigorosa
488,Mototaxista,Sim,Muito frequente,Condução imprudente,Sim,Aplicações de reconhecimento facial,Sim,Não,
489,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de filtros no Instagram com IA,Sim,Sim,Implementar semáforos inteligentes
490,Motorista,Sim,Muito frequente,Consumo de álcool,Sim,Nunca usei IA,Sim,Sim,Fiscalização mais rigorosa
491,Mototaxista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Instalar câmeras de vigilância
492,Motorista,Sim,Frequente,Condução imprudente,Sim,Uso de assistentes virtuais como Siri ou Alexa,Sim,Sim,Construir passadeiras elevadas
493,Motorista,Não,Muito frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Não,Sim,Fiscalização mais rigorosa
494,Mototaxista,Sim,Frequente,Condução imprudente,Sim,Interação com chatbots de atendimento,Sim,Sim,Mais agentes de trânsito nas ruas
495,Motorista,Sim,Muito frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Criar faixas de pedestres
496,Mototaxista,Sim,Frequente,Condução imprudente,Não,Nenhuma,Sim,Sim,Implementar semáforos inteligentes
497,Motorista,Sim,Frequente,Falta de sinalização,Não,Nenhuma,Sim,Não,
498,Mototaxista,Sim,Muito frequente,Excesso de velocidade,Sim,Nunca usei IA,Sim,Sim,Aumentar a iluminação pública
499,Motorista,Não,Frequente,Condução imprudente,Sim,Nunca ouvi falar antes,Sim,Não,
500,Motorista,Sim,Raro,Condução imprudente,Sim,Vi notícias sobre carros autónomos,Sim,Sim,Melhorar a sinalização nas estradas
